ID,,,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,,,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
84722,84721,,縣立東埔國小,[556]南投縣信義鄉東埔村開高巷63號,242611.731,2606547.478,[08]南投縣,信義鄉,山,42,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84724,84722,,縣立潭南國小,[556]南投縣信義鄉潭南村和平巷49號,243912.91,2635233.87,[08]南投縣,信義鄉,山,74,72,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84728,84724,,縣立隆華國小,[556]南投縣信義鄉神木村民和巷65-6號,236499.28,2606678.65,[08]南投縣,信義鄉,山,29,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84729,84728,,縣立新鄉國小,[556]南投縣信義鄉新鄉村80號,236679.5,2615147.11,[08]南投縣,信義鄉,山,57,57,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84730,84729,,縣立久美國小,[556]南投縣信義鄉望美村美信巷54號,238195.7,2612444.21,[08]南投縣,信義鄉,山,48,48,0,0,0,41,0,7,0,0,0,0,0,0,0,0,0,0,0,107Y
84731,84730,,縣立雙龍國小,[556]南投縣信義鄉雙龍村光復巷4號,244932.84,2631294.2,[08]南投縣,信義鄉,山,55,55,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84732,84731,,縣立豐丘國小,[556]南投縣信義鄉豐丘村高平巷77號,237263.4,2618514.94,[08]南投縣,信義鄉,山,27,26,0,1,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,107Y
84733,84732,,縣立仁愛國小,[546]南投縣仁愛鄉大同村山農巷5號,263554.62,2657296.75,[08]南投縣,仁愛鄉,山,62,50,0,9,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0,107Y
84734,84733,,縣立親愛國小,[546]南投縣仁愛鄉親愛村高平路3號,261117.83,2651457.44,[08]南投縣,仁愛鄉,山,97,86,0,44,2,3,0,0,0,0,0,0,0,1,0,36,0,0,0,107Y
84735,84734,,縣立法治國小,[546]南投縣仁愛鄉法治村界山巷6號,254702.81,2645799.36,[08]南投縣,仁愛鄉,山,78,76,0,4,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84736,84735,,縣立合作國小,[546]南投縣仁愛鄉合作村平生路23號,272024.437,2664594.858,[08]南投縣,仁愛鄉,山,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,107Y
84737,84736,,縣立互助國小,[546]南投縣仁愛鄉互助村中華路19號,246911.23,2662007.25,[08]南投縣,仁愛鄉,山,57,56,2,6,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,107Y
84738,84737,,縣立力行國小,[546]南投縣仁愛鄉力行村新望洋67號,269241.32,2671459.875,[08]南投縣,仁愛鄉,山,35,35,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107Y
84739,84738,,縣立南豐國小,[546]南投縣仁愛鄉南豐村楓林路3號,257998.22,2655059.21,[08]南投縣,仁愛鄉,山,39,34,1,1,1,3,0,0,0,0,0,0,0,0,0,28,0,0,0,107Y
84740,84739,,縣立中正國小,[546]南投縣仁愛鄉中正村平等巷114號,249102.95,2644463.29,[08]南投縣,仁愛鄉,山,89,89,2,2,1,83,0,0,0,0,0,0,0,1,0,0,0,0,0,107Y
84741,84740,,縣立廬山國小,[546]南投縣仁愛鄉精英村中華巷19號,268940.45,2658920.06,[08]南投縣,仁愛鄉,山,46,46,0,5,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,107Y
84742,84741,,縣立發祥國小,[546]南投縣仁愛鄉發祥村光復巷24號,266000.51,2668750.35,[08]南投縣,仁愛鄉,山,11,11,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,107Y
84743,84742,,縣立萬豐國小,[546]南投縣仁愛鄉萬豐村清華巷8號,257760.78,2649141.34,[08]南投縣,仁愛鄉,山,66,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84744,84743,,縣立都達國小,[546]南投縣仁愛鄉都達村法觀路17號,269545.2,2661627.72,[08]南投縣,仁愛鄉,山,39,39,0,3,0,3,0,0,0,0,0,0,0,2,0,31,0,0,0,107Y
84745,84744,,縣立春陽國小,[546]南投縣仁愛鄉春陽村永樂巷58號,265134.591,2658137.861,[08]南投縣,仁愛鄉,山,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,107Y
84746,84745,,縣立紅葉國小,[546]南投縣仁愛鄉發祥村仁盛路70號,268009.52,2672721.86,[08]南投縣,仁愛鄉,山,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84747,84746,,縣立清境國小,[546]南投縣仁愛鄉定遠新村24號,266129.066,2659965.473,[08]南投縣,仁愛鄉,山,44,18,0,0,1,3,0,0,0,0,0,2,0,0,0,12,0,0,0,107Y
