ID,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
84728,縣立隆華國小,[556]南投縣信義鄉神木村民和巷21號,237382.5331,2607905.123,[08]南投縣,信義鄉,山,30,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84729,縣立新鄉國小,[556]南投縣信義鄉新鄉村80號,236670,2615140.009,[08]南投縣,信義鄉,山,54,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84730,縣立久美國小,[556]南投縣信義鄉望美村美信巷54號,238207,2612450.009,[08]南投縣,信義鄉,山,53,53,0,0,0,44,0,8,0,0,0,0,0,0,0,0,0,0,1,"103Y"
84731,縣立雙龍國小,[556]南投縣信義鄉雙龍村光復巷4號,244932.8493,2631294.204,[08]南投縣,信義鄉,山,63,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84732,縣立豐丘國小,[556]南投縣信義鄉豐丘村高平巷77號,237263.4022,2618514.945,[08]南投縣,信義鄉,山,42,32,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,"103Y"
84733,縣立仁愛國小,[546]南投縣仁愛鄉大同村山農巷5號,263554.6278,2657296.757,[08]南投縣,仁愛鄉,山,71,61,1,15,0,3,0,0,0,0,0,0,0,0,0,42,0,0,0,"103Y"
84734,縣立親愛國小,[546]南投縣仁愛鄉親愛村高平路3號,261117.8345,2651457.443,[08]南投縣,仁愛鄉,山,104,92,0,46,0,2,0,0,0,0,0,0,0,0,0,44,0,0,0,"103Y"
84735,縣立法治國小,[546]南投縣仁愛鄉法治村界山巷6號,254702.8128,2645799.366,[08]南投縣,仁愛鄉,山,105,103,0,0,0,102,0,0,0,0,0,0,0,0,0,1,0,0,0,"103Y"
84736,縣立合作國小,[546]南投縣仁愛鄉合作村平生路23號,272024.437,2664594.858,[08]南投縣,仁愛鄉,山,54,54,0,2,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,"103Y"
84737,縣立互助國小,[546]南投縣仁愛鄉互助村中華路1號,246904,2662060.009,[08]南投縣,仁愛鄉,山,64,64,2,10,0,1,0,0,0,0,0,0,0,0,0,51,0,0,0,"103Y"
84738,縣立力行國小,[546]南投縣仁愛鄉力行村新望洋67號,269241.3203,2671459.875,[08]南投縣,仁愛鄉,山,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84739,縣立南豐國小,[546]南投縣仁愛鄉南豐村楓林路3號,257998.2263,2655059.213,[08]南投縣,仁愛鄉,山,48,43,1,1,0,2,0,0,0,0,0,0,0,0,0,39,0,0,0,"103Y"
84740,縣立中正國小,[546]南投縣仁愛鄉中正村平等巷114號,249102.9508,2644463.293,[08]南投縣,仁愛鄉,山,68,68,1,0,3,60,0,2,0,0,0,0,0,0,0,0,0,0,2,"103Y"
84741,縣立廬山國小,[546]南投縣仁愛鄉精英村中華巷19號,268940.4535,2658920.06,[08]南投縣,仁愛鄉,山,37,36,0,2,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,"103Y"
84742,縣立發祥國小,[546]南投縣仁愛鄉發祥村光復巷24號,266000.5109,2668750.354,[08]南投縣,仁愛鄉,山,18,18,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"103Y"
84743,縣立萬豐國小,[546]南投縣仁愛鄉萬豐村清華巷8號,257760.7894,2649141.341,[08]南投縣,仁愛鄉,山,53,53,0,2,0,49,0,0,0,0,0,0,0,1,0,1,0,0,0,"103Y"
84744,縣立平靜國小,[546]南投縣仁愛鄉精英村法觀路17號,269545.206,2661627.721,[08]南投縣,仁愛鄉,山,36,36,0,0,0,3,0,0,0,0,0,0,0,0,0,33,0,0,0,"103Y"
84745,縣立春陽國小,[546]南投縣仁愛鄉春陽村永樂巷58號,265134.5909,2658137.861,[08]南投縣,仁愛鄉,山,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,"103Y"
84746,縣立紅葉國小,[546]南投縣仁愛鄉發祥村仁盛路70號,268009.52,2672721.861,[08]南投縣,仁愛鄉,山,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84747,縣立清境國小,[546]南投縣仁愛鄉定遠新村24號,266129.0659,2659965.473,[08]南投縣,仁愛鄉,山,67,21,0,1,2,6,0,0,0,0,0,0,0,0,0,12,0,0,0,"103Y"
104727,縣立達邦國小,[605]嘉義縣阿里山鄉達邦村一鄰1號,224405,2594500.009,[10]嘉義縣,阿里山鄉,山,60,59,0,2,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,"103Y"
104729,縣立十字國小,[605]嘉義縣阿里山鄉十字村16號,224887,2598820.009,[10]嘉義縣,阿里山鄉,山,15,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"103Y"
