ID,NAME,ADDR,X,Y,,CO_NAME,,TO_NAME,,MF,STU_CNT,AB_STU_CNT,,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,TW97經緯度,縣市名稱,縣市統計,鄉鎮市區名稱,鄉鎮,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族學生比例,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
54670,縣立南埔國小,[353]苗栗縣南庄鄉南富村134號,247273.08,2725370.98,"24.635183,120.973064",[05]苗栗縣,14,南庄鄉,5,平,61,4,6.56%,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,110Y
54671,縣立東河國小,[353]苗栗縣南庄鄉東河村三鄰132號,254090.81,2721539.14,"24.600582,121.040398",[05]苗栗縣,14,南庄鄉,5,平,43,38,88.37%,1,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,110Y
54672,縣立蓬萊國小,[353]苗栗縣南庄鄉蓬萊村19鄰118號,247043.643,2715139.401,"24.542802,120.970819",[05]苗栗縣,14,南庄鄉,5,平,32,20,62.50%,0,4,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,110Y
54698,縣立獅潭國小,[354]苗栗縣獅潭鄉新店村129號,241952.6,2714840.41,"24.540085,120.920569",[05]苗栗縣,14,獅潭鄉,2,平,43,2,4.65%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54700,縣立永興國小,[354]苗栗縣獅潭鄉永興村6鄰55-1號,243567.45,2718559.98,"24.573676,120.936491",[05]苗栗縣,14,獅潭鄉,2,平,16,6,37.50%,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,110Y
54707,縣立泰安國(中)小,[365]苗栗縣泰安鄉大興村32之1號,240796.37,2701696.9,"24.421406,120.909241",[05]苗栗縣,14,泰安鄉,7,山,6,5,83.33%,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54708,縣立泰興國小,[365]苗栗縣泰安鄉中興村1鄰2號,241954.51,2698687.83,"24.394243,120.920679",[05]苗栗縣,14,泰安鄉,7,山,30,29,96.67%,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,110Y
54709,縣立清安國小,[365]苗栗縣泰安鄉清安村六鄰122號,242549.73,2703750.97,"24.439961,120.926521",[05]苗栗縣,14,泰安鄉,7,山,11,10,90.91%,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54711,縣立汶水國小,[365]苗栗縣泰安鄉錦水村四鄰12號,242111.36,2705993.59,"24.460208,120.922185",[05]苗栗縣,14,泰安鄉,7,山,50,47,94.00%,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54712,縣立象鼻國小,[365]苗栗縣泰安鄉象鼻村一鄰4號,244626.76,2694892.89,"24.359989,120.947039",[05]苗栗縣,14,泰安鄉,7,山,40,40,100.00%,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54714,縣立梅園國小,[365]苗栗縣泰安鄉梅園村二鄰38號,247073.27,2698009.48,"24.388136,120.971146",[05]苗栗縣,14,泰安鄉,7,山,51,51,100.00%,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54725,縣立士林國小,[365]苗栗縣泰安鄉士林村5鄰26號,242938.77,2693553.38,"24.347888,120.930408",[05]苗栗縣,14,泰安鄉,7,山,27,27,100.00%,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44601,縣立關西國小,[306]新竹縣關西鎮西安里中山路126號,255474.945,2732871.222,"24.702893,121.05411",[04]新竹縣,20,關西鎮,8,平,504,37,7.34%,5,22,3,2,0,0,0,1,0,0,1,3,0,0,0,0,0,110Y
44602,縣立東安國小,[306]新竹縣關西鎮東安里中山東路40號,268595.836,2742563.914,"24.790302,121.183916",[04]新竹縣,20,關西鎮,8,平,227,3,1.32%,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44603,縣立石光國小,[306]新竹縣關西鎮石光里石岡子386號,263040.711,2745144.59,"24.81366,121.128999",[04]新竹縣,20,關西鎮,8,平,69,2,2.90%,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110Y
44604,縣立坪林國小,[306]新竹縣關西鎮上林里坪林11號,264179.117,2743740.515,"24.800973,121.140246",[04]新竹縣,20,關西鎮,8,平,46,1,2.17%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
